Step,AgentID,Wealth,category,vision
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,20,ant,5
,2539,15,ant,5
,2540,18,ant,5
,2542,22,ant,5
,2543,14,ant,1
,2544,2,ant,5
,2545,11,ant,4
,2546,14,ant,3
,2548,23,ant,1
,2549,13,ant,3
,2550,4,ant,2
,2551,14,ant,3
,2552,2,ant,4
,2553,29,ant,2
,2554,11,ant,5
,2555,10,ant,4
,2556,10,ant,2
,2557,3,ant,5
,2559,35,ant,2
,2561,5,ant,2
,2562,29,ant,5
,2565,15,ant,2
,2566,20,ant,3
,2567,6,ant,2
,2569,39,ant,2
,2570,21,ant,5
,2571,8,ant,4
,2572,23,ant,2
,2574,26,ant,5
,2576,14,ant,4
,2577,17,ant,2
,2578,16,ant,4
,2579,6,ant,5
,2580,24,ant,1
,2582,1,ant,4
,2583,12,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,14,ant,5
,2588,12,ant,5
,2589,27,ant,5
,2590,7,ant,4
,2591,10,ant,4
,2592,29,ant,5
,2593,8,ant,5
,2594,22,ant,1
,2595,31,ant,3
,2596,12,ant,1
,2597,39,ant,5
,2598,38,ant,2
,2599,23,ant,2
9,2500,21,ant,3
,2501,26,ant,1
,2502,4,ant,2
,2503,4,ant,3
,2505,29,ant,2
,2508,20,ant,4
,2509,34,ant,4
,2510,5,ant,1
,2513,1,ant,5
,2514,15,ant,5
,2515,18,ant,1
,2517,24,ant,2
,2518,5,ant,2
,2519,15,ant,4
,2521,26,ant,5
,2523,18,ant,2
,2524,31,ant,4
,2526,31,ant,2
,2527,13,ant,1
,2529,4,ant,2
,2530,18,ant,4
,2531,4,ant,1
,2532,10,ant,2
,2533,4,ant,4
,2534,1,ant,5
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,22,ant,5
,2539,16,ant,5
,2540,19,ant,5
,2542,22,ant,5
,2543,15,ant,1
,2544,2,ant,5
,2545,12,ant,4
,2546,13,ant,3
,2548,25,ant,1
,2549,14,ant,3
,2550,2,ant,2
,2551,15,ant,3
,2553,31,ant,2
,2554,12,ant,5
,2555,11,ant,4
,2556,11,ant,2
,2557,4,ant,5
,2559,37,ant,2
,2561,4,ant,2
,2562,31,ant,5
,2565,17,ant,2
,2566,22,ant,3
,2567,5,ant,2
,2569,41,ant,2
,2570,22,ant,5
,2571,9,ant,4
,2572,23,ant,2
,2574,27,ant,5
,2576,15,ant,4
,2577,17,ant,2
,2578,17,ant,4
,2579,5,ant,5
,2580,24,ant,1
,2583,13,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,16,ant,5
,2588,11,ant,5
,2589,28,ant,5
,2590,5,ant,4
,2591,10,ant,4
,2592,30,ant,5
,2593,9,ant,5
,2594,21,ant,1
,2595,33,ant,3
,2596,11,ant,1
,2597,41,ant,5
,2598,40,ant,2
,2599,24,ant,2
10,2500,22,ant,3
,2501,28,ant,1
,2502,3,ant,2
,2503,3,ant,3
,2505,30,ant,2
,2508,21,ant,4
,2509,36,ant,4
,2510,4,ant,1
,2514,16,ant,5
,2515,19,ant,1
,2517,26,ant,2
,2518,4,ant,2
,2519,15,ant,4
,2521,28,ant,5
,2523,18,ant,2
,2524,33,ant,4
,2526,32,ant,2
,2527,12,ant,1
,2529,2,ant,2
,2530,19,ant,4
,2531,3,ant,1
,2532,9,ant,2
,2533,4,ant,4
,2535,11,ant,1
,2536,6,ant,4
,2537,12,ant,3
,2538,24,ant,5
,2539,17,ant,5
,2540,20,ant,5
,2542,22,ant,5
,2543,13,ant,1
,2544,2,ant,5
,2545,14,ant,4
,2546,12,ant,3
,2548,27,ant,1
,2549,15,ant,3
,2551,16,ant,3
,2553,33,ant,2
,2554,13,ant,5
,2555,12,ant,4
,2556,12,ant,2
,2557,6,ant,5
,2559,39,ant,2
,2561,3,ant,2
,2562,33,ant,5
,2565,19,ant,2
,2566,24,ant,3
,2567,4,ant,2
,2569,43,ant,2
,2570,23,ant,5
,2571,10,ant,4
,2572,24,ant,2
,2574,28,ant,5
,2576,16,ant,4
,2577,17,ant,2
,2578,18,ant,4
,2579,4,ant,5
,2580,24,ant,1
,2583,14,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,18,ant,5
,2588,10,ant,5
,2589,29,ant,5
,2590,3,ant,4
,2591,10,ant,4
,2592,31,ant,5
,2593,10,ant,5
,2594,21,ant,1
,2595,35,ant,3
,2596,10,ant,1
,2597,43,ant,5
,2598,42,ant,2
,2599,25,ant,2
11,2500,23,ant,3
,2501,30,ant,1
,2502,2,ant,2
,2503,2,ant,3
,2505,31,ant,2
,2508,22,ant,4
,2509,38,ant,4
,2510,3,ant,1
,2514,17,ant,5
,2515,20,ant,1
,2517,28,ant,2
,2518,3,ant,2
,2519,15,ant,4
,2521,30,ant,5
,2523,18,ant,2
,2524,35,ant,4
,2526,34,ant,2
,2527,11,ant,1
,2530,20,ant,4
,2531,2,ant,1
,2532,8,ant,2
,2533,4,ant,4
,2535,11,ant,1
,2536,6,ant,4
,2537,13,ant,3
,2538,26,ant,5
,2539,18,ant,5
,2540,21,ant,5
,2542,23,ant,5
,2543,12,ant,1
,2544,3,ant,5
,2545,16,ant,4
,2546,11,ant,3
,2548,29,ant,1
,2549,16,ant,3
,2551,18,ant,3
,2553,35,ant,2
,2554,14,ant,5
,2555,13,ant,4
,2556,13,ant,2
,2557,8,ant,5
,2559,39,ant,2
,2561,2,ant,2
,2562,35,ant,5
,2565,21,ant,2
,2566,26,ant,3
,2567,3,ant,2
,2569,45,ant,2
,2570,24,ant,5
,2571,11,ant,4
,2572,25,ant,2
,2574,29,ant,5
,2576,17,ant,4
,2577,17,ant,2
,2578,19,ant,4
,2579,3,ant,5
,2580,25,ant,1
,2583,15,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,20,ant,5
,2588,9,ant,5
,2589,30,ant,5
,2590,1,ant,4
,2591,10,ant,4
,2592,32,ant,5
,2593,11,ant,5
,2594,22,ant,1
,2595,37,ant,3
,2596,9,ant,1
,2597,45,ant,5
,2598,44,ant,2
,2599,26,ant,2
12,2500,24,ant,3
,2501,31,ant,1
,2502,1,ant,2
,2503,1,ant,3
,2505,32,ant,2
,2508,23,ant,4
,2509,40,ant,4
,2510,2,ant,1
,2514,18,ant,5
,2515,20,ant,1
,2517,30,ant,2
,2518,2,ant,2
,2519,15,ant,4
,2521,32,ant,5
,2523,18,ant,2
,2524,36,ant,4
,2526,36,ant,2
,2527,10,ant,1
,2530,21,ant,4
,2531,1,ant,1
,2532,7,ant,2
,2533,4,ant,4
,2535,11,ant,1
,2536,7,ant,4
,2537,14,ant,3
,2538,28,ant,5
,2539,19,ant,5
,2540,22,ant,5
,2542,24,ant,5
,2543,13,ant,1
,2544,4,ant,5
,2545,18,ant,4
,2546,10,ant,3
,2548,31,ant,1
,2549,17,ant,3
,2551,20,ant,3
,2553,37,ant,2
,2554,15,ant,5
,2555,15,ant,4
,2556,14,ant,2
,2557,10,ant,5
,2559,40,ant,2
,2561,1,ant,2
,2562,37,ant,5
,2565,23,ant,2
,2566,28,ant,3
,2567,2,ant,2
,2569,46,ant,2
,2570,25,ant,5
,2571,13,ant,4
,2572,26,ant,2
,2574,30,ant,5
,2576,18,ant,4
,2577,18,ant,2
,2578,20,ant,4
,2579,2,ant,5
,2580,26,ant,1
,2583,16,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,22,ant,5
,2588,8,ant,5
,2589,31,ant,5
,2591,10,ant,4
,2592,33,ant,5
,2593,11,ant,5
,2594,23,ant,1
,2595,39,ant,3
,2596,8,ant,1
,2597,47,ant,5
,2598,46,ant,2
,2599,27,ant,2
13,2500,25,ant,3
,2501,33,ant,1
,2505,33,ant,2
,2508,24,ant,4
,2509,42,ant,4
,2510,2,ant,1
,2514,19,ant,5
,2515,21,ant,1
,2517,32,ant,2
,2518,1,ant,2
,2519,15,ant,4
,2521,34,ant,5
,2523,18,ant,2
,2524,38,ant,4
,2526,38,ant,2
,2527,9,ant,1
,2530,22,ant,4
,2532,6,ant,2
,2533,5,ant,4
,2535,11,ant,1
,2536,8,ant,4
,2537,15,ant,3
,2538,30,ant,5
,2539,20,ant,5
,2540,23,ant,5
,2542,25,ant,5
,2543,14,ant,1
,2544,5,ant,5
,2545,20,ant,4
,2546,9,ant,3
,2548,33,ant,1
,2549,18,ant,3
,2551,22,ant,3
,2553,39,ant,2
,2554,16,ant,5
,2555,17,ant,4
,2556,15,ant,2
,2557,12,ant,5
,2559,42,ant,2
,2562,39,ant,5
,2565,25,ant,2
,2566,30,ant,3
,2567,1,ant,2
,2569,48,ant,2
,2570,26,ant,5
,2571,15,ant,4
,2572,27,ant,2
,2574,31,ant,5
,2576,19,ant,4
,2577,19,ant,2
,2578,21,ant,4
,2579,1,ant,5
,2580,27,ant,1
,2583,17,ant,5
,2585,18,ant,1
,2586,12,ant,5
,2587,24,ant,5
,2588,7,ant,5
,2589,32,ant,5
,2591,10,ant,4
,2592,34,ant,5
,2593,12,ant,5
,2594,24,ant,1
,2595,41,ant,3
,2596,7,ant,1
,2597,49,ant,5
,2598,48,ant,2
,2599,28,ant,2
14,2500,26,ant,3
,2501,35,ant,1
,2505,34,ant,2
,2508,25,ant,4
,2509,44,ant,4
,2510,2,ant,1
,2514,20,ant,5
,2515,22,ant,1
,2517,34,ant,2
,2519,15,ant,4
,2521,36,ant,5
,2523,18,ant,2
,2524,40,ant,4
,2526,40,ant,2
,2527,8,ant,1
,2530,23,ant,4
,2532,5,ant,2
,2533,6,ant,4
,2535,11,ant,1
,2536,9,ant,4
,2537,16,ant,3
